Id,Partition,Code,Description,Brand,BrandType,InstrumentType,SignalType,SupplyVoltage,Wiring,Communication,GalvanicIsolation,OperationalUnit,ScaleRange,LimitHH,LimitH,LimitL,LimitLL,Softawre,ExtraData
,Public,326TH04YT10,Thrust Roller Temperature,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,°C,0-200,0,0,75,85,,
,Public,326TH04YZ2,KILN POSITION,MTS,Temposonics Series L,Positioner,4…20mA,24V,2-wire,,,CM,0-85,0,0,10,10,,
,Public,436SP18YT14,Separator Reducer Oil Temperature Temperature,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,80,90,,
,Public,436SP18YT20,Separator Rotor Bearing Temp.(Upper) Temperature,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,90,100,,
,Public,436SP18YT21,Separator Rotor Bearing Temp.(Lower) Temperature,LOREME,CNL45/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,0,90,100,,
,Public,436SP18YV40,Separator Rotor Bearing Vib.(Upper) Vibration,Bruel & kjaer vibro,VIBROCNTROL 1100 /VS 68,Vibro Sensor,4…20mA,230V,4-wire,,,mm/s,0-20,0,0,4.5,11,,
,Public,226SP41YP10,Air Separator pressure,ABB,KENT K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmH2o,-1200,-500,-400,0,0,,
,Public,226SP41YT10,Air Separator Outlet Gas Temp.,SIEMENS,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,86,140,150,,
,Public,226SP41YT20,Seperator Temp,SIEMENS,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-500,0,0,400,450,,
,Public,216SP41YP10,Air Separator pressure,ABB,KENT K-DCA 2-1.41,Pressure Transmitter,4…20mA,24V,2-wire,,,mmH2o,-1200,-500,-400,0,0,,
,Public,216SP41YT10,Air Separator Outlet Gas Temp.,SIEMENS,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-200,0,86,140,150,,
,Public,216SP41YT20,SEPARATOR INLET TEMPERATURE,SIEMENS,SITRANCE TF/ TC TYPE K,Thermometer,4…20mA,24V,2-wire,,,C,0-500,0,0,270,300,,
,Public,501SO47YL10,Cement Silo D,VEGA,VEGAPLUS 68,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,0,20,97,99,,
,Public,501SO33YL10,Cement Silo C,VEGA,VEGAPLUS 68,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,0,20,97,99,,
,Public,501SO19YL10,Cement Silo B,VEGA,VEGAPLUS 68,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,0,20,97,99,,
,Public,501SO05YL10,Cement Silo A,VEGA,VEGAPLUS 68,Level Sensor,4…20mA,24V,2-wire,,,%,0-100,0,20,97,99,,
,Public,325SC26YW10,Bypass Material  Weight ,Dosatec,CELMI 336,Weigh Sensor,4…20mA,230V,4-wire,,,kg,0-2000,0,0,1000,2000,,
,Public,912PU11YF10,Cooling Water Distribution Outlet Pump  Flow Flow   ,ABB,  266DSH  ,Flowmeter,4…20mA,24V,2-wire,,,m3/h,0-500,150,280,500,500,,
,Public,912PU11YT10,Cooling Water Distribution Outlet Pump Temperature   ,KENT,P821.8.2.1/PT100,Thermometer,4…20mA,24V,2-wire,,,C,0-60,0,12,36,48,,
,Public,645PU02YP10,Heavy Oil Pressure,YOKOGAWA,EJA530A ECS4N,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-50,0,0,50,50,,
,Public,645PU02YZ10,flow control valve Position ,SART,49-2,Positioner,4…20mA,24V,2-wire,,,%,0-200,0,0,200,200,,
,Public,236PU22YF10,Water Flow,Endress+Hauser,PROMAG 50,Flowmeter,4…20mA,24V,2-wire,,,M3/h,0-6,0,1.3,3.17,5.2,,
,Public,645PP15YP20,Fuel Oil 3 Pressure 2,E&H,PMC131-A11F1A1T,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-16,1,2,10,15,,
,Public,329PA01YT10,Drawn Pan Conveyor Pyrometer Temperature,LAND ,Pyrometer RT8A,Thermometer,4…20mA,24V,2-wire,,,°C,0-250,0,0,250,250,,
,Public,236MV15YP98,Classifier Gearbox Lubrication Pressure,Danfos,MBS3050-2011-5GB04,Pressure Transmitter,4…20mA,24V,2-wire,,,bar,0-10,10,10,0.75,0.25,,
